mean_slope_deg,mean_curvature,swi_mm,rainfall_24h_mm,landslide,source
35.95824194223853,-0.014843841879948734,129.03432056649712,152.41460420603522,1,SIMULATED
22.555137590082094,0.01848715514374868,364.0403951014817,139.63804894354323,0,SIMULATED
39.3439167964553,0.0006922374837051124,343.1959421556018,55.72121052669019,0,SIMULATED
32.89472116237456,-0.005655914982951401,427.0636190573076,141.78890380432358,1,SIMULATED
8.767093915505981,-0.0021236386124515254,238.11633669997357,189.6295369029668,0,SIMULATED
44.024894065470235,0.004462440368123322,44.993999714978216,18.311966874113782,1,SIMULATED
35.44558807961412,0.012336283993795596,499.2211630974449,65.2325284007132,1,SIMULATED
36.44257221107815,-0.019994244573387627,311.5000422482341,46.934453092318826,0,SIMULATED
10.124545307021835,-0.02083175265242544,528.0412990172362,78.65002688013334,0,SIMULATED
23.015437515822686,0.022093584308050602,104.7602372273294,148.46653097078928,0,SIMULATED
19.831920969303248,-0.008246737444094612,30.746337129359258,94.84851628507731,0,SIMULATED
42.07059955394407,-0.028336841851937484,213.66951335052835,114.14612122404925,1,SIMULATED
30.75460480322658,0.008876254187662093,376.1069119353607,62.83097761566847,0,SIMULATED
37.910464530833195,0.009267396120653738,327.3761398514045,28.257853417420108,1,SIMULATED
22.736567953093246,-0.03061430514513413,652.0359931133038,53.386729787545704,1,SIMULATED
14.089548871391075,0.004589634309272126,314.71336247040267,171.9360602483974,0,SIMULATED
27.183391480633393,0.014711661848567472,433.74412009040157,120.48339243068209,1,SIMULATED
7.552690244167013,0.007487729034125261,482.9421621049099,75.59773463944674,0,SIMULATED
38.10524687970328,0.012639629675227906,37.02848548373305,157.9811963471175,0,SIMULATED
30.266575964882595,-0.02808538196181498,421.8040339400274,12.891486490981752,1,SIMULATED
35.323509603414955,0.006620803099923912,288.96838233109355,50.77821758447713,0,SIMULATED
19.181038725194735,-0.006052395189408932,348.5984995929386,46.02063081146785,0,SIMULATED
43.82792097579613,-0.009655803174492897,98.22417082629521,197.07291243364443,0,SIMULATED
40.724844852887905,0.017411112188394532,630.6000412059433,141.21971647855204,1,SIMULATED
36.135339882950475,0.0295854902134846,755.0753156306475,123.55718727771084,1,SIMULATED
12.785548314078703,0.03588740109200718,37.36968009108801,0.9969930588945797,0,SIMULATED
